person_age,person_income,person_home_ownership,person_employment_length,loan_purpose,loan_grade,loan_amount,loan_interest_rate,loan_status,loan_to_income_ratio,cb_person_default_on_file,cb_credit_history_length,person_income_log,loan_amount_log
22,59000,rent,17.0,personal,D,29800,16.02,True,0.5,Y,3,10.985309671896763,10.30229722897745
21,14400,own,5.0,education,B,1000,11.14,False,0.1,N,2,9.575052927597383,6.90875477931522
25,14400,mortgage,1.0,medical,C,5500,12.87,True,0.5,N,3,9.575052927597383,8.612685172875459
23,65500,rent,4.0,medical,C,29800,15.23,True,0.5,N,2,11.089820688682373,10.30229722897745
24,54400,rent,8.0,medical,C,29800,14.27,True,0.5,Y,4,10.904137815028022,10.30229722897745
21,14400,own,2.0,venture,A,2500,7.14,True,0.25,N,2,9.575052927597383,7.824445930877619
26,77100,rent,8.0,education,B,29800,12.42,True,0.45,N,3,11.252871529635922,10.30229722897745
24,78956,rent,5.0,medical,B,29800,11.11,True,0.44,N,4,11.276658679464603,10.30229722897745
24,83000,rent,8.0,personal,A,29800,8.9,True,0.42,N,2,11.326607934898927,10.30229722897745
21,14400,own,6.0,venture,D,1600,14.74,True,0.16,N,3,9.575052927597383,7.3783837129967145
22,85000,rent,6.0,venture,B,29800,10.37,True,0.41,N,4,11.350418300109132,10.30229722897745
21,14400,own,2.0,home-improvement,A,4500,8.63,True,0.45,N,2,9.575052927597383,8.412054873292933
23,95000,rent,2.0,venture,A,29800,7.9,True,0.37,N,2,11.461642696843066,10.30229722897745
26,108160,rent,4.0,education,E_or_lower,29800,18.39,True,0.32,N,4,11.591376136796182,10.30229722897745
23,115000,rent,2.0,education,A,29800,7.9,False,0.3,N,4,11.652696102959753,10.30229722897745
23,225000,mortgage,7.0,debt-consolidation,B,29800,10.65,False,0.06,N,3,12.323860125621126,10.30229722897745
23,120000,rent,0.0,education,A,29800,7.9,False,0.29,N,4,11.695255355062795,10.30229722897745
23,92111,rent,7.0,medical,E_or_lower,29800,20.25,True,0.32,N,4,11.430760506915592,10.30229722897745
23,113000,rent,8.0,debt-consolidation,D,29800,18.25,True,0.31,N,4,11.635151947212842,10.30229722897745
24,14400,mortgage,8.0,education,B,1750,10.99,True,0.16,N,2,9.575052927597383,7.467942332285852
25,162500,rent,2.0,venture,A,29800,7.49,False,0.22,N,4,11.998439434579149,10.30229722897745
25,137000,rent,9.0,personal,E_or_lower,29800,16.77,False,0.25,Y,2,11.827743504053695,10.30229722897745
22,65000,rent,4.0,education,D,29800,17.58,True,0.5,N,4,11.082157933374816,10.30229722897745
24,14400,own,0.0,personal,A,1500,7.29,False,0.14,N,3,9.575052927597383,7.313886831633462
22,80000,rent,3.0,personal,D,29800,14.54,True,0.42,Y,4,11.289794413577894,10.30229722897745
24,67746,rent,8.0,home-improvement,C,29800,12.68,True,0.49,N,3,11.123535457318734,10.30229722897745
21,14400,mortgage,3.0,venture,E_or_lower,4575,17.74,True,0.42,Y,3,9.575052927597383,8.428580533059634
23,14400,own,0.0,personal,A,1400,9.32,False,0.13,N,3,9.575052927597383,7.244941546337007
24,65000,rent,6.0,home-improvement,B,29800,9.99,True,0.5,N,3,11.082157933374816,10.30229722897745
21,14400,other,5.0,education,C,4000,12.84,True,0.35,Y,2,9.575052927597383,8.294299608857235
21,14400,own,5.0,medical,B,2000,11.12,True,0.17,N,3,9.575052927597383,7.601402334583733
25,120000,rent,2.0,venture,A,29800,6.62,False,0.27,N,2,11.695255355062795,10.30229722897745
26,95000,rent,7.0,home-improvement,C,29800,14.17,True,0.33,Y,3,11.461642696843066,10.30229722897745
25,225000,rent,2.0,debt-consolidation,C,24250,13.85,False,0.08,N,3,12.323860125621126,10.096213132628804
26,225000,mortgage,10.0,medical,C,7800,13.49,False,0.03,N,4,12.323860125621126,8.962007209588313
21,14400,own,5.0,education,A,2500,7.51,True,0.21,N,4,9.575052927597383,7.824445930877619
22,48000,rent,1.0,education,E_or_lower,29800,18.39,True,0.5,N,2,10.778977123006351,10.30229722897745
24,64000,rent,8.0,debt-consolidation,D,29800,14.54,True,0.47,Y,3,11.06665398721974,10.30229722897745
25,75000,rent,4.0,home-improvement,D,29800,16.89,True,0.4,Y,4,11.225256725762893,10.30229722897745
23,71500,rent,3.0,debt-consolidation,D,29800,,True,0.42,N,4,11.177466714598282,10.30229722897745
