person_age,person_income,person_employment_length,loan_grade,loan_amount,loan_interest_rate,loan_status,loan_to_income_ratio,cb_credit_history_length,person_income_log,loan_amount_log,loan_grade_numeric,credit_history_bins,person_home_ownership_other,person_home_ownership_own,person_home_ownership_rent,loan_purpose_education,loan_purpose_home-improvement,loan_purpose_medical,loan_purpose_personal,loan_purpose_venture,cb_person_default_on_file_Y
22,59000,17.0,D,29800,16.02,1,0.5,3,10.985309671896765,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,1,0,1
21,14400,5.0,B,1000,11.14,0,0.1,2,9.575052927597383,6.90875477931522,2,"(0, 5]",0,1,0,1,0,0,0,0,0
25,14400,1.0,C,5500,12.87,1,0.5,3,9.575052927597383,8.612685172875459,3,"(0, 5]",0,0,0,0,0,1,0,0,0
23,65500,4.0,C,29800,15.23,1,0.5,2,11.089820688682371,10.30229722897745,3,"(0, 5]",0,0,1,0,0,1,0,0,0
24,54400,8.0,C,29800,14.27,1,0.5,4,10.904137815028022,10.30229722897745,3,"(0, 5]",0,0,1,0,0,1,0,0,1
21,14400,2.0,A,2500,7.14,1,0.25,2,9.575052927597383,7.824445930877619,1,"(0, 5]",0,1,0,0,0,0,0,1,0
26,77100,8.0,B,29800,12.42,1,0.45,3,11.252871529635922,10.30229722897745,2,"(0, 5]",0,0,1,1,0,0,0,0,0
24,78956,5.0,B,29800,11.11,1,0.44,4,11.276658679464605,10.30229722897745,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,83000,8.0,A,29800,8.9,1,0.42,2,11.326607934898927,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,1,0,0
21,14400,6.0,D,1600,14.74,1,0.16,3,9.575052927597383,7.378383712996715,4,"(0, 5]",0,1,0,0,0,0,0,1,0
22,85000,6.0,B,29800,10.37,1,0.41,4,11.350418300109132,10.30229722897745,2,"(0, 5]",0,0,1,0,0,0,0,1,0
21,14400,2.0,A,4500,8.63,1,0.45,2,9.575052927597383,8.412054873292933,1,"(0, 5]",0,1,0,0,1,0,0,0,0
23,95000,2.0,A,29800,7.9,1,0.37,2,11.461642696843066,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,0,1,0
26,108160,4.0,E_or_lower,29800,18.39,1,0.32,4,11.591376136796182,10.30229722897745,6,"(0, 5]",0,0,1,1,0,0,0,0,0
23,115000,2.0,A,29800,7.9,0,0.3,4,11.652696102959752,10.30229722897745,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,225000,7.0,B,29800,10.65,0,0.06,3,12.323860125621126,10.30229722897745,2,"(0, 5]",0,0,0,0,0,0,0,0,0
23,120000,0.0,A,29800,7.9,0,0.29,4,11.695255355062796,10.30229722897745,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,92111,7.0,E_or_lower,29800,20.25,1,0.32,4,11.430760506915592,10.30229722897745,6,"(0, 5]",0,0,1,0,0,1,0,0,0
23,113000,8.0,D,29800,18.25,1,0.31,4,11.635151947212842,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,0,0,0
24,14400,8.0,B,1750,10.99,1,0.16,2,9.575052927597383,7.467942332285852,2,"(0, 5]",0,0,0,1,0,0,0,0,0
