person_id,person_age,person_income,person_home_ownership,person_emp_length
1,22,59000.0,RENT,123.0
2,21,9600.0,OWN,5.0
3,25,9600.0,MORTGAGE,1.0
4,23,65500.0,RENT,4.0
5,24,54400.0,RENT,8.0
6,21,9900.0,OWN,2.0
7,26,77100.0,RENT,8.0
8,24,78956.0,RENT,5.0
9,24,83000.0,RENT,8.0
10,21,10000.0,OWN,6.0
11,22,85000.0,RENT,6.0
12,21,10000.0,OWN,2.0
13,23,95000.0,RENT,2.0
14,26,108160.0,RENT,4.0
15,23,115000.0,RENT,2.0
16,23,500000.0,MORTGAGE,7.0
17,23,120000.0,RENT,0.0
18,23,92111.0,RENT,7.0
19,23,113000.0,RENT,8.0
20,24,10800.0,MORTGAGE,8.0
21,25,162500.0,RENT,2.0
22,25,137000.0,RENT,9.0
23,22,65000.0,RENT,4.0
24,24,10980.0,OWN,0.0
25,22,80000.0,RENT,3.0
26,24,67746.0,RENT,8.0
27,21,11000.0,MORTGAGE,3.0
28,23,11000.0,OWN,0.0
29,24,65000.0,RENT,6.0
30,21,11389.0,OTHER,5.0
31,21,11520.0,OWN,5.0
32,25,120000.0,RENT,2.0
33,26,95000.0,RENT,7.0
34,25,306000.0,RENT,2.0
35,26,300000.0,MORTGAGE,10.0
36,21,12000.0,OWN,5.0
37,22,48000.0,RENT,1.0
38,24,64000.0,RENT,8.0
39,25,75000.0,RENT,4.0
40,23,71500.0,RENT,3.0
41,26,62050.0,RENT,6.0
42,24,12000.0,OWN,4.0
43,26,300000.0,MORTGAGE,10.0
44,23,300000.0,OWN,1.0
45,26,300000.0,OWN,9.0
46,26,300000.0,MORTGAGE,0.0
47,25,300000.0,MORTGAGE,9.0
48,26,80690.0,RENT,8.0
49,22,66300.0,RENT,4.0
50,26,89028.0,RENT,0.0
51,24,78000.0,RENT,4.0
52,23,78000.0,RENT,7.0
53,23,92004.0,RENT,6.0
54,23,97000.0,RENT,7.0
55,25,120000.0,RENT,9.0
56,26,280000.0,RENT,4.0
57,26,277104.0,RENT,0.0
58,23,277000.0,OWN,3.0
59,25,128000.0,RENT,9.0
60,24,12000.0,OWN,2.0
61,21,131000.0,RENT,0.0
62,22,275000.0,OWN,6.0
63,26,263000.0,MORTGAGE,0.0
64,25,221850.0,MORTGAGE,9.0
65,22,70000.0,RENT,6.0
66,22,12000.0,MORTGAGE,7.0
67,26,260000.0,OWN,10.0
68,25,259000.0,MORTGAGE,9.0
69,24,255000.0,MORTGAGE,9.0
70,25,250000.0,RENT,2.0
71,25,12000.0,OWN,0.0
72,22,56950.0,RENT,6.0
73,21,12000.0,OWN,6.0
74,23,65000.0,RENT,2.0
75,26,85000.0,RENT,2.0
76,26,12000.0,OWN,2.0
77,22,88000.0,RENT,6.0
78,21,12000.0,OWN,0.0
79,22,12000.0,OWN,6.0
80,24,83004.0,RENT,0.0
81,24,250000.0,RENT,2.0
82,144,250000.0,RENT,4.0
83,25,100000.0,RENT,5.0
84,26,110000.0,RENT,10.0
85,26,12000.0,OWN,0.0
86,22,108000.0,RENT,6.0
87,23,151200.0,RENT,7.0
88,24,69000.0,RENT,2.0
89,21,12000.0,MORTGAGE,5.0
90,22,70000.0,RENT,4.0
91,22,240000.0,OWN,6.0
92,26,73200.0,RENT,5.0
93,24,83000.0,RENT,5.0
94,24,73399.0,RENT,0.0
95,23,62500.0,RENT,7.0
96,23,120000.0,RENT,1.0
97,24,12360.0,OWN,2.0
98,22,60000.0,RENT,0.0
99,25,234000.0,MORTGAGE,3.0
100,24,234000.0,OWN,8.0
101,26,234000.0,MORTGAGE,10.0
102,25,221004.0,MORTGAGE,6.0
103,26,232500.0,MORTGAGE,0.0
104,25,230000.0,MORTGAGE,5.0
105,23,83000.0,RENT,7.0
106,22,12600.0,MORTGAGE,
107,25,12600.0,OWN,3.0
108,21,42500.0,RENT,3.0
109,24,41000.0,RENT,2.0
110,25,12816.0,OWN,0.0
111,24,12960.0,MORTGAGE,1.0
112,26,226000.0,MORTGAGE,4.0
113,25,225000.0,MORTGAGE,0.0
114,26,213000.0,MORTGAGE,6.0
115,24,225000.0,RENT,0.0
116,24,12960.0,MORTGAGE,0.0
117,23,12996.0,OWN,0.0
118,22,42000.0,RENT,6.0
119,26,48000.0,RENT,2.0
120,25,12996.0,OWN,1.0
121,22,12996.0,OWN,1.0
122,25,42360.0,RENT,1.0
123,21,49000.0,RENT,4.0
124,25,225000.0,MORTGAGE,0.0
125,26,225000.0,RENT,1.0
126,23,225000.0,RENT,8.0
127,26,225000.0,MORTGAGE,2.0
128,22,49464.0,RENT,5.0
129,23,50000.0,RENT,1.0
130,25,50000.0,RENT,4.0
131,24,44000.0,RENT,2.0
132,23,50000.0,RENT,1.0
133,22,50004.0,RENT,0.0
134,22,50004.0,RENT,3.0
135,22,52000.0,RENT,2.0
136,23,13200.0,OWN,3.0
137,24,220000.0,MORTGAGE,1.0
138,23,216000.0,MORTGAGE,5.0
139,25,216000.0,MORTGAGE,2.0
140,26,216000.0,MORTGAGE,10.0
141,23,215000.0,MORTGAGE,7.0
142,26,215000.0,MORTGAGE,11.0
143,23,52000.0,RENT,1.0
144,26,46000.0,RENT,2.0
145,22,53000.0,RENT,5.0
146,26,47000.0,RENT,0.0
147,23,47000.0,RENT,1.0
148,23,13200.0,MORTGAGE,2.0
149,21,13200.0,OWN,0.0
150,22,210000.0,MORTGAGE,6.0
151,26,210000.0,OWN,10.0
152,26,48000.0,RENT,5.0
153,22,54996.0,RENT,6.0
154,24,55000.0,RENT,4.0
155,23,55000.0,RENT,4.0
156,23,55000.0,RENT,4.0
157,24,55164.0,RENT,8.0
158,26,56000.0,RENT,4.0
159,24,203500.0,OWN,8.0
160,23,190000.0,MORTGAGE,5.0
161,23,13920.0,OWN,2.0
162,24,60000.0,RENT,0.0
163,24,60000.0,RENT,2.0
164,26,54000.0,RENT,7.0
165,23,14000.0,OWN,2.0
166,24,200000.0,RENT,8.0
167,24,200000.0,MORTGAGE,8.0
168,21,200000.0,MORTGAGE,5.0
169,25,54000.0,RENT,3.0
170,23,60000.0,RENT,3.0
171,23,60000.0,RENT,7.0
172,21,60000.0,RENT,6.0
173,25,61959.0,RENT,9.0
174,22,56400.0,RENT,2.0
175,23,200000.0,MORTGAGE,7.0
176,21,200000.0,MORTGAGE,2.0
177,24,200000.0,MORTGAGE,3.0
178,26,200000.0,MORTGAGE,4.0
179,25,200000.0,MORTGAGE,2.0
180,24,200000.0,RENT,8.0
181,24,66000.0,RENT,3.0
182,22,66000.0,RENT,6.0
183,22,200000.0,MORTGAGE,6.0
184,144,200000.0,MORTGAGE,4.0
185,25,200000.0,RENT,5.0
186,25,200000.0,MORTGAGE,2.0
187,25,200000.0,MORTGAGE,9.0
188,24,200000.0,MORTGAGE,8.0
189,24,60000.0,RENT,2.0
190,21,14400.0,OWN,0.0
191,26,66996.0,RENT,10.0
192,23,67000.0,RENT,3.0
193,24,67000.0,RENT,2.0
194,24,68000.0,RENT,5.0
195,25,69000.0,RENT,9.0
196,25,200000.0,MORTGAGE,0.0
197,26,188000.0,MORTGAGE,10.0
198,26,200000.0,MORTGAGE,4.0
199,25,69996.0,RENT,9.0
200,22,14400.0,OWN,2.0
201,24,70000.0,RENT,3.0
202,24,14400.0,OWN,5.0
203,24,56100.0,RENT,7.0
204,25,66000.0,RENT,9.0
205,26,66000.0,RENT,3.0
206,25,14400.0,OWN,7.0
207,25,72612.0,RENT,9.0
208,23,74000.0,RENT,3.0
209,25,75000.0,RENT,9.0
210,24,192000.0,RENT,0.0
211,21,192000.0,MORTGAGE,123.0
212,25,191000.0,MORTGAGE,1.0
213,26,190300.0,MORTGAGE,5.0
214,22,190000.0,MORTGAGE,3.0
215,24,75000.0,RENT,4.0
216,22,71000.0,RENT,1.0
217,26,190000.0,MORTGAGE,3.0
218,23,189996.0,OWN,0.0
219,23,78000.0,RENT,7.0
220,23,78000.0,RENT,1.0
221,23,78504.0,RENT,7.0
222,25,186000.0,OWN,9.0
223,24,185000.0,MORTGAGE,
224,25,185000.0,RENT,6.0
225,24,62050.0,RENT,8.0
226,23,79416.0,RENT,7.0
227,21,14400.0,OWN,4.0
228,24,79631.0,RENT,8.0
229,24,79632.0,RENT,0.0
230,21,14400.0,MORTGAGE,0.0
231,24,80000.0,RENT,6.0
232,26,80000.0,RENT,5.0
233,22,185000.0,RENT,4.0
234,26,185000.0,OWN,10.0
235,24,184992.0,RENT,7.0
236,23,184000.0,OWN,5.0
237,24,172000.0,MORTGAGE,6.0
238,24,183000.0,MORTGAGE,2.0
239,22,183000.0,MORTGAGE,3.0
240,25,182952.0,MORTGAGE,9.0
241,23,74004.0,RENT,7.0
242,26,74004.0,RENT,10.0
243,25,81000.0,RENT,5.0
244,23,81600.0,RENT,1.0
245,24,82000.0,RENT,8.0
246,24,83000.0,RENT,5.0
247,24,83000.0,RENT,5.0
248,24,180000.0,RENT,8.0
249,23,180000.0,MORTGAGE,8.0
250,23,14400.0,OWN,2.0
251,22,14400.0,OWN,0.0
252,22,84500.0,RENT,6.0
253,24,85000.0,RENT,5.0
254,24,180000.0,MORTGAGE,7.0
255,26,180000.0,MORTGAGE,2.0
256,25,142800.0,MORTGAGE,9.0
257,23,14664.0,MORTGAGE,0.0
258,24,87000.0,RENT,8.0
259,24,75000.0,RENT,0.0
260,23,76000.0,RENT,7.0
261,23,66215.0,RENT,1.0
262,25,90000.0,RENT,9.0
263,21,15000.0,OWN,0.0
264,26,180000.0,OWN,2.0
265,24,180000.0,OWN,8.0
266,25,180000.0,OWN,9.0
267,26,180000.0,OWN,0.0
268,25,180000.0,MORTGAGE,3.0
269,23,15000.0,OWN,7.0
270,23,78000.0,RENT,2.0
271,25,66300.0,RENT,3.0
272,23,90000.0,RENT,0.0
273,24,79000.0,RENT,9.0
274,24,91800.0,RENT,4.0
275,25,92000.0,RENT,6.0
276,24,92000.0,RENT,1.0
277,23,93600.0,RENT,3.0
278,23,15000.0,MORTGAGE,1.0
279,23,70550.0,RENT,3.0
280,25,83800.0,RENT,2.0
281,26,175000.0,MORTGAGE,3.0
282,25,175000.0,MORTGAGE,10.0
283,22,175000.0,MORTGAGE,6.0
284,23,175000.0,MORTGAGE,8.0
285,23,15000.0,OWN,4.0
286,23,15000.0,OWN,4.0
287,22,88000.0,RENT,6.0
288,25,74800.0,RENT,2.0
289,25,88000.0,RENT,0.0
290,25,15000.0,OWN,2.0
291,26,88000.0,RENT,2.0
292,25,100000.0,RENT,1.0
293,23,15000.0,MORTGAGE,0.0
294,24,102400.0,RENT,8.0
295,24,92000.0,RENT,1.0
296,23,93000.0,RENT,0.0
297,22,175000.0,RENT,6.0
298,23,175000.0,MORTGAGE,3.0
299,25,174708.0,RENT,9.0
300,25,174000.0,MORTGAGE,2.0
301,26,174000.0,RENT,8.0
302,25,162000.0,MORTGAGE,5.0
303,26,173467.0,MORTGAGE,10.0
304,21,15000.0,OWN,0.0
305,25,96000.0,RENT,2.0
306,21,15120.0,MORTGAGE,0.0
307,24,97908.0,RENT,8.0
308,26,110000.0,RENT,3.0
309,23,15204.0,MORTGAGE,7.0
310,25,159600.0,RENT,0.0
311,24,171500.0,RENT,6.0
312,25,170004.0,MORTGAGE,3.0
313,24,158004.0,RENT,0.0
314,26,170000.0,RENT,0.0
315,24,83300.0,RENT,0.0
316,24,110000.0,RENT,7.0
317,22,15360.0,OWN,7.0
318,25,134300.0,RENT,3.0
319,25,170000.0,MORTGAGE,2.0
320,22,100580.0,RENT,6.0
321,25,113000.0,RENT,7.0
322,24,120000.0,RENT,8.0
323,25,120000.0,RENT,6.0
324,23,120000.0,RENT,7.0
325,24,91800.0,RENT,5.0
326,21,15600.0,OWN,5.0
327,26,108000.0,RENT,2.0
328,26,129996.0,RENT,6.0
329,23,130000.0,RENT,4.0
330,23,130000.0,RENT,7.0
331,25,170000.0,OWN,4.0
332,26,170000.0,MORTGAGE,0.0
333,22,169000.0,RENT,1.0
334,26,168750.0,RENT,10.0
335,23,168600.0,RENT,3.0
336,24,168288.0,RENT,5.0
337,25,168000.0,MORTGAGE,2.0
338,24,133300.0,RENT,6.0
339,24,15600.0,OWN,5.0
340,24,134000.0,RENT,8.0
341,25,134000.0,RENT,7.0
342,25,15600.0,OWN,0.0
343,25,135000.0,RENT,5.0
344,26,135660.0,RENT,10.0
345,25,145000.0,RENT,0.0
346,23,150000.0,RENT,4.0
347,23,165000.0,MORTGAGE,3.0
348,22,153000.0,MORTGAGE,5.0
349,24,165000.0,MORTGAGE,5.0
350,25,165000.0,MORTGAGE,0.0
351,21,165000.0,MORTGAGE,5.0
352,23,16000.0,OWN,7.0
353,23,16000.0,MORTGAGE,3.0
354,23,16000.0,OWN,7.0
355,23,148000.0,RENT,1.0
356,23,16000.0,MORTGAGE,1.0
357,24,16020.0,OWN,3.0
358,22,16094.0,MORTGAGE,2.0
359,25,175000.0,RENT,2.0
360,22,16200.0,OWN,6.0
361,24,185000.0,RENT,7.0
362,25,162000.0,RENT,9.0
363,26,161000.0,RENT,10.0
364,22,160000.0,MORTGAGE,0.0
365,25,225000.0,RENT,5.0
366,25,16400.0,OWN,1.0
367,23,16500.0,OWN,6.0
368,25,49500.0,RENT,6.0
369,23,60000.0,RENT,4.0
370,24,84200.0,RENT,8.0
371,22,16800.0,MORTGAGE,5.0
372,24,92000.0,RENT,8.0
373,23,160000.0,MORTGAGE,5.0
374,24,160000.0,MORTGAGE,9.0
375,25,160000.0,MORTGAGE,1.0
376,26,160000.0,RENT,6.0
377,25,125800.0,MORTGAGE,0.0
378,25,54000.0,RENT,2.0
379,23,62500.0,RENT,1.0
380,24,16800.0,MORTGAGE,
381,25,68400.0,RENT,9.0
382,26,56045.0,RENT,1.0
383,22,74000.0,RENT,7.0
384,24,65453.0,RENT,9.0
385,24,89908.0,RENT,1.0
386,26,78000.0,RENT,0.0
387,23,100000.0,RENT,0.0
388,23,103000.0,RENT,6.0
389,25,160000.0,MORTGAGE,2.0
390,25,160000.0,OWN,5.0
391,24,160000.0,MORTGAGE,3.0
392,23,160000.0,MORTGAGE,2.0
393,26,160000.0,MORTGAGE,0.0
394,21,160000.0,MORTGAGE,3.0
395,25,160000.0,MORTGAGE,3.0
396,22,16800.0,MORTGAGE,0.0
397,25,111996.0,RENT,9.0
398,21,16800.0,MORTGAGE,0.0
399,25,115200.0,RENT,0.0
400,23,144000.0,RENT,0.0
401,23,287000.0,RENT,3.0
402,22,108000.0,RENT,1.0
403,22,43000.0,RENT,7.0
404,23,47004.0,RENT,1.0
405,24,48000.0,RENT,4.0
406,26,48000.0,RENT,4.0
407,21,44964.0,RENT,2.0
408,25,52000.0,RENT,
409,22,17352.0,MORTGAGE,
410,24,47000.0,RENT,3.0
411,22,17400.0,MORTGAGE,6.0
412,22,49000.0,RENT,2.0
413,26,60000.0,RENT,0.0
414,25,60000.0,RENT,3.0
