loan_id,person_id,loan_amnt,loan_int_rate,loan_intent,loan_grade,loan_status,loan_percent_income
1,1,35000.0,16.02,PERSONAL,D,True,0.59
2,2,1000.0,11.14,EDUCATION,B,False,0.1
3,3,5500.0,12.87,MEDICAL,C,True,0.57
4,4,35000.0,15.23,MEDICAL,C,True,0.53
5,5,35000.0,14.27,MEDICAL,C,True,0.55
6,6,2500.0,7.14,VENTURE,A,True,0.25
7,7,35000.0,12.42,EDUCATION,B,True,0.45
8,8,35000.0,11.11,MEDICAL,B,True,0.44
9,9,35000.0,8.9,PERSONAL,A,True,0.42
10,10,1600.0,14.74,VENTURE,D,True,0.16
11,11,35000.0,10.37,VENTURE,B,True,0.41
12,12,4500.0,8.63,HOMEIMPROVEMENT,A,True,0.45
13,13,35000.0,7.9,VENTURE,A,True,0.37
14,14,35000.0,18.39,EDUCATION,E,True,0.32
15,15,35000.0,7.9,EDUCATION,A,False,0.3
16,16,30000.0,10.65,DEBTCONSOLIDATION,B,False,0.06
17,17,35000.0,7.9,EDUCATION,A,False,0.29
18,18,35000.0,20.25,MEDICAL,F,True,0.32
19,19,35000.0,18.25,DEBTCONSOLIDATION,D,True,0.31
20,20,1750.0,10.99,EDUCATION,B,True,0.16
21,21,35000.0,7.49,VENTURE,A,False,0.22
22,22,34800.0,16.77,PERSONAL,E,False,0.25
23,23,34000.0,17.58,EDUCATION,D,True,0.52
24,24,1500.0,7.29,PERSONAL,A,False,0.14
25,25,33950.0,14.54,PERSONAL,D,True,0.42
26,26,33000.0,12.68,HOMEIMPROVEMENT,C,True,0.49
27,27,4575.0,17.74,VENTURE,E,True,0.42
28,28,1400.0,9.32,PERSONAL,A,False,0.13
29,29,32500.0,9.99,HOMEIMPROVEMENT,B,True,0.5
30,30,4000.0,12.84,EDUCATION,C,True,0.35
31,31,2000.0,11.12,MEDICAL,B,True,0.17
32,32,32000.0,6.62,VENTURE,A,False,0.27
33,33,31050.0,14.17,HOMEIMPROVEMENT,C,True,0.33
34,34,24250.0,13.85,DEBTCONSOLIDATION,C,False,0.08
35,35,7800.0,13.49,MEDICAL,C,False,0.03
36,36,2500.0,7.51,EDUCATION,A,True,0.21
37,37,30000.0,18.39,EDUCATION,E,True,0.63
38,38,30000.0,14.54,DEBTCONSOLIDATION,D,True,0.47
39,39,30000.0,16.89,HOMEIMPROVEMENT,D,True,0.4
40,40,30000.0,,DEBTCONSOLIDATION,D,True,0.42
41,41,30000.0,17.99,MEDICAL,E,True,0.41
42,42,2500.0,12.69,VENTURE,B,True,0.21
43,43,20000.0,7.88,VENTURE,A,False,0.07
44,44,24250.0,19.41,EDUCATION,F,False,0.08
45,45,10000.0,10.38,HOMEIMPROVEMENT,B,False,0.03
46,46,25000.0,15.33,EDUCATION,D,False,0.08
47,47,18000.0,16.45,HOMEIMPROVEMENT,E,False,0.06
48,48,30000.0,7.49,PERSONAL,A,True,0.37
49,49,30000.0,12.69,MEDICAL,B,True,0.38
50,50,30000.0,6.62,DEBTCONSOLIDATION,A,True,0.34
51,51,30000.0,,DEBTCONSOLIDATION,D,True,0.38
52,52,30000.0,18.62,DEBTCONSOLIDATION,F,True,0.38
53,53,30000.0,15.23,PERSONAL,C,True,0.33
54,54,30000.0,10.65,VENTURE,B,True,0.31
55,55,30000.0,7.9,EDUCATION,A,False,0.25
56,56,10000.0,15.96,PERSONAL,C,False,0.04
57,57,20000.0,11.48,VENTURE,B,False,0.07
58,58,35000.0,,PERSONAL,A,False,0.13
59,59,30000.0,7.29,PERSONAL,A,False,0.23
60,60,1750.0,,VENTURE,E,False,0.15
61,61,30000.0,5.99,VENTURE,A,False,0.23
62,62,12000.0,11.58,VENTURE,B,False,0.04
63,63,10000.0,,EDUCATION,B,True,0.04
64,64,25000.0,15.7,MEDICAL,D,True,0.1
65,65,29100.0,15.99,EDUCATION,D,True,0.42
66,66,1500.0,14.84,EDUCATION,D,False,0.13
67,67,28000.0,10.99,HOMEIMPROVEMENT,B,False,0.11
68,68,20000.0,14.42,HOMEIMPROVEMENT,D,False,0.08
69,69,9600.0,6.99,EDUCATION,A,False,0.04
70,70,25000.0,13.49,MEDICAL,C,False,0.1
71,71,3000.0,,MEDICAL,C,True,0.25
72,72,28000.0,,MEDICAL,A,True,0.49
73,73,3000.0,13.61,EDUCATION,C,True,0.25
74,74,28000.0,7.9,EDUCATION,A,True,0.43
75,75,28000.0,7.49,VENTURE,A,True,0.33
76,76,6100.0,7.51,EDUCATION,A,True,0.51
77,77,28000.0,9.91,VENTURE,B,True,0.32
78,78,4200.0,13.48,PERSONAL,C,True,0.35
79,79,4750.0,7.14,DEBTCONSOLIDATION,A,True,0.4
80,80,28000.0,15.99,VENTURE,D,True,0.34
81,81,18000.0,12.98,EDUCATION,C,False,0.07
82,82,4800.0,13.57,VENTURE,C,False,0.02
83,83,28000.0,12.69,DEBTCONSOLIDATION,B,False,0.28
84,84,28000.0,8.9,EDUCATION,A,False,0.25
85,85,2700.0,,DEBTCONSOLIDATION,A,True,0.23
86,86,28000.0,,EDUCATION,B,True,0.26
87,87,28000.0,11.11,DEBTCONSOLIDATION,B,False,0.19
88,88,27600.0,,HOMEIMPROVEMENT,A,True,0.4
89,89,3250.0,15.68,DEBTCONSOLIDATION,E,True,0.27
90,90,27500.0,13.06,EDUCATION,C,True,0.39
91,91,25000.0,,PERSONAL,B,False,0.1
92,92,27050.0,15.62,VENTURE,D,True,0.37
93,93,27000.0,13.49,PERSONAL,C,True,0.33
94,94,27000.0,,VENTURE,D,True,0.37
95,95,26000.0,11.71,MEDICAL,B,True,0.42
96,96,25600.0,12.69,EDUCATION,B,False,0.21
97,97,1600.0,13.57,MEDICAL,C,False,0.13
98,98,25475.0,10.99,VENTURE,B,True,0.42
99,99,20000.0,14.27,MEDICAL,C,False,0.09
100,100,20000.0,8.88,HOMEIMPROVEMENT,B,False,0.09
101,101,21600.0,12.18,HOMEIMPROVEMENT,B,False,0.09
102,102,11900.0,14.42,DEBTCONSOLIDATION,D,True,0.05
103,103,25000.0,14.17,MEDICAL,C,False,0.11
104,104,35000.0,13.99,MEDICAL,C,False,0.15
105,105,25300.0,10.99,EDUCATION,B,True,0.3
106,106,2000.0,5.42,PERSONAL,A,True,0.16
107,107,1750.0,13.61,PERSONAL,C,False,0.14
108,108,25000.0,12.73,EDUCATION,C,True,0.59
109,109,25000.0,,HOMEIMPROVEMENT,D,True,0.61
110,110,3000.0,12.87,DEBTCONSOLIDATION,C,True,0.23
111,111,3650.0,9.91,HOMEIMPROVEMENT,B,True,0.28
112,112,20000.0,11.49,HOMEIMPROVEMENT,B,False,0.09
113,113,30000.0,19.91,HOMEIMPROVEMENT,E,False,0.13
114,114,35000.0,10.65,EDUCATION,B,True,0.16
115,115,6000.0,,MEDICAL,B,False,0.03
116,116,4500.0,11.83,DEBTCONSOLIDATION,B,True,0.35
117,117,2400.0,13.49,DEBTCONSOLIDATION,C,True,0.18
118,118,25000.0,14.59,MEDICAL,D,True,0.6
119,119,25000.0,9.64,EDUCATION,B,True,0.52
120,120,3600.0,14.59,MEDICAL,D,True,0.28
121,121,4750.0,,EDUCATION,B,True,0.37
122,122,25000.0,16.35,EDUCATION,E,True,0.59
123,123,25000.0,10.99,EDUCATION,B,True,0.51
124,124,25000.0,18.67,VENTURE,F,False,0.11
125,125,3000.0,9.32,EDUCATION,A,False,0.01
126,126,7500.0,8.63,DEBTCONSOLIDATION,A,False,0.03
127,127,25000.0,10.08,VENTURE,B,False,0.11
128,128,25000.0,11.83,PERSONAL,B,True,0.51
129,129,25000.0,7.9,DEBTCONSOLIDATION,A,True,0.5
130,130,25000.0,5.99,HOMEIMPROVEMENT,A,True,0.5
131,131,25000.0,15.33,DEBTCONSOLIDATION,D,True,0.57
132,132,25000.0,11.83,VENTURE,B,True,0.5
133,133,25000.0,10.36,VENTURE,B,True,0.5
134,134,25000.0,12.23,VENTURE,C,True,0.5
135,135,25000.0,11.11,EDUCATION,B,True,0.48
136,136,4950.0,7.9,DEBTCONSOLIDATION,A,True,0.38
137,137,25000.0,11.58,EDUCATION,B,False,0.11
138,138,21000.0,8.9,DEBTCONSOLIDATION,A,False,0.1
139,139,25000.0,16.07,EDUCATION,D,False,0.12
140,140,20000.0,14.22,EDUCATION,C,False,0.09
141,141,35000.0,14.79,MEDICAL,C,False,0.16
142,142,12000.0,7.88,EDUCATION,A,False,0.06
143,143,25000.0,13.22,PERSONAL,C,True,0.48
144,144,25000.0,11.86,DEBTCONSOLIDATION,D,True,0.54
145,145,25000.0,13.43,EDUCATION,C,True,0.47
146,146,25000.0,15.28,HOMEIMPROVEMENT,D,True,0.53
147,147,25000.0,17.93,VENTURE,E,True,0.53
148,148,1400.0,9.25,EDUCATION,B,False,0.11
149,149,4500.0,12.98,VENTURE,C,True,0.34
150,150,16000.0,10.62,VENTURE,B,False,0.08
151,151,22000.0,11.83,PERSONAL,B,False,0.1
152,152,25000.0,18.43,VENTURE,F,True,0.52
153,153,25000.0,,EDUCATION,B,True,0.45
154,154,25000.0,,HOMEIMPROVEMENT,D,True,0.45
155,155,25000.0,11.36,EDUCATION,B,True,0.45
156,156,25000.0,15.65,EDUCATION,D,True,0.45
157,157,25000.0,13.22,PERSONAL,C,True,0.45
158,158,25000.0,12.87,DEBTCONSOLIDATION,C,True,0.45
159,159,20000.0,13.04,MEDICAL,C,False,0.1
160,160,22000.0,17.58,EDUCATION,F,True,0.12
161,161,7750.0,17.04,PERSONAL,E,True,0.56
162,162,25000.0,10.99,PERSONAL,B,True,0.42
163,163,25000.0,11.11,PERSONAL,B,True,0.42
164,164,25000.0,14.83,DEBTCONSOLIDATION,D,True,0.46
165,165,4000.0,,DEBTCONSOLIDATION,D,True,0.29
166,166,12000.0,12.69,MEDICAL,B,False,0.06
167,167,12000.0,13.49,HOMEIMPROVEMENT,C,False,0.06
168,168,16000.0,14.65,EDUCATION,C,False,0.08
